Word_1,Word_2,Word_1_2,Cosine similarity
Chapter,regulations,Chapter_regulations,0.3006975149263551
Chapter,administrative,Chapter_administrative,0.3103522380003343
Chapter,compostable,Chapter_compostable,0.3664231981525372
Chapter,contained,Chapter_contained,0.3006975149263551
Chapter,prohibition,Chapter_prohibition,0.21893218489401248
Chapter,flexible,Chapter_flexible,0.12536693798731732
Chapter,straws,Chapter_straws,0.2532094495161745
Chapter,plastic,Chapter_plastic,0.40298220897396103
Chapter,pursuant,Chapter_pursuant,0.3188827274930885
Chapter,public,Chapter_public,0.18443191662261307
Chapter,serviceware,Chapter_serviceware,0.46428071118946884
Chapter,single,Chapter_single,0.0845798608014702
Chapter,non-compostable,Chapter_non-compostable,0.2624308721771994
Chapter,ETS,Chapter_ETS,0.2910691023819054
Chapter,air,Chapter_air,0.2910691023819054
Chapter,occupants,Chapter_occupants,0.4111217451482082
Chapter,respective,Chapter_respective,0.5378250505585102
Chapter,Establish,Chapter_Establish,0.3006975149263551
Chapter,Minimum,Chapter_Minimum,0.0
Chapter,systems,Chapter_systems,0.11913689236190336
Chapter,prerequisites,Chapter_prerequisites,0.3768884432866535
Chapter,apply,Chapter_apply,0.29096881261556007
Chapter,exempt,Chapter_exempt,0.38405571843526176
Chapter,maximum,Chapter_maximum,0.05612175491366005
Chapter,Guidelines,Chapter_Guidelines,0.1144676006896003
Chapter,-14(17-O-1157,Chapter_-14(17-O-1157,0.0
Chapter,infrastructure,Chapter_infrastructure,0.47416625842535787
Chapter,ensure,Chapter_ensure,0.26335620086205663
Chapter,consistent,Chapter_consistent,0.23872815841786632
Chapter,review,Chapter_review,0.26335620086205663
Chapter,guidelines,Chapter_guidelines,0.1144676006896003
Chapter,requirement,Chapter_requirement,0.3718987666135617
Chapter,procurement,Chapter_procurement,0.5381758896786937
Chapter,RFP,Chapter_RFP,0.2910691023819054
Chapter,proposal,Chapter_proposal,0.2867324992180681
Chapter,6,Chapter_6,0.0
Chapter,sponsoring,Chapter_sponsoring,0.10657035539480764
Chapter,department,Chapter_department,0.5687131641027124
